[2021-12-16 19:31:50][INFO][tid:6729][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:31:51][INFO][tid:6729][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:32:00][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:32:01][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:32:01][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:32:19][INFO][tid:6729][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:32:19][INFO][tid:6729][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:33:30][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:33:31][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:33:31][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:38:26][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:38:30][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:38:30][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:38:35][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:38:35][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:38:36][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:40:09][INFO][tid:7549][master_basical.cpp(290):masterhandler]delete normal cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:40:57][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:40:57][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:40:58][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:41:06][INFO][tid:7549][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:41:07][INFO][tid:7549][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:41:18][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:41:19][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
